Sno,Date,Time,State/UnionTerritory,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths,Confirmed,Updated On,State,Total Doses Administered,Sessions, Sites ,First Dose Administered,Second Dose Administered,Male (Doses Administered),Female (Doses Administered),Transgender (Doses Administered), Covaxin (Doses Administered),CoviShield (Doses Administered),Sputnik V (Doses Administered),AEFI,18-44 Years (Doses Administered),45-60 Years (Doses Administered),60+ Years (Doses Administered),18-44 Years(Individuals Vaccinated),45-60 Years(Individuals Vaccinated),60+ Years(Individuals Vaccinated),Male(Individuals Vaccinated),Female(Individuals Vaccinated),Transgender(Individuals Vaccinated),Date,State,TotalSamples,Negative,Positive
27,25-02-2020,6:00 PM,Kerala,3,0,0,0,3,11-02-2021,India,6958553,197650,40332,6958553,0,,,,609108,6349445,,,,,,,,,3153649,3803908,996,09-06-2020,Andaman and Nicobar Islands,9859,,33
28,26-02-2020,6:00 PM,Kerala,3,0,0,0,3,12-02-2021,India,7423817,207633,40799,7423817,0,,,,740517,6683300,,,,,,,,,3504429,3918381,1007,10-06-2020,Andaman and Nicobar Islands,10010,,35
29,27-02-2020,6:00 PM,Kerala,3,0,0,0,3,13-02-2021,India,7708211,216559,41308,7687352,20859,,,,781304,6906048,,,,,,,,,3684053,4002279,1020,11-06-2020,Andaman and Nicobar Islands,10226,,38
30,28-02-2020,6:00 PM,Kerala,3,0,0,0,3,14-02-2021,India,7732278,223423,41606,7710367,21911,,,,786042,6924325,,,,,,,,,3699535,4009812,1020,12-06-2020,Andaman and Nicobar Islands,10697,,38
31,29-02-2020,6:00 PM,Kerala,3,0,0,0,3,15-02-2021,India,8253651,233527,42016,8111162,142489,,,,825093,7286069,,,,,,,,,3925723,4184377,1062,13-06-2020,Andaman and Nicobar Islands,10955,,38
32,01-03-2020,6:00 PM,Kerala,3,0,0,0,3,16-02-2021,India,8577226,245131,42859,8337600,239626,,,,841412,7496188,,,,,,,,,4044967,4291548,1085,14-06-2020,Andaman and Nicobar Islands,11356,,38
33,02-03-2020,6:00 PM,Telengana,1,0,0,0,1,17-02-2021,India,9023239,256706,43310,8704698,318541,,,,894555,7810143,,,,,,,,,4271486,4432078,1134,15-06-2020,Andaman and Nicobar Islands,11518,,41
34,02-03-2020,6:00 PM,Kerala,3,0,0,0,3,18-02-2021,India,9338267,268275,43734,8862491,475776,,,,962251,7900240,,,,,,,,,4509554,4351815,1122,16-06-2020,Andaman and Nicobar Islands,11809,,44
35,02-03-2020,6:00 PM,Delhi,1,0,0,0,1,19-02-2021,India,10241508,279055,44167,9523567,717941,,,,1003518,8520049,,,,,,,,,4820055,4702310,1202,17-06-2020,Andaman and Nicobar Islands,12239,,44
36,03-03-2020,6:00 PM,Telengana,1,0,0,0,1,20-02-2021,India,10619113,288334,44791,9734505,884608,,,,1033170,8701335,,,,,,,,,4966750,4766532,1223,18-06-2020,Andaman and Nicobar Islands,12622,,45
37,03-03-2020,6:00 PM,Rajasthan,0,1,0,0,1,21-02-2021,India,10651012,299726,45120,9757217,893795,,,,1037565,8719652,,,,,,,,,4982068,4773924,1225,19-06-2020,Andaman and Nicobar Islands,12930,,47
38,03-03-2020,6:00 PM,Kerala,3,0,3,0,3,22-02-2021,India,11243679,312382,45490,10069263,1174416,,,,1085940,8983323,,,,,,,,,5226538,4841511,1214,20-06-2020,Andaman and Nicobar Islands,13320,,47
39,03-03-2020,6:00 PM,Delhi,1,0,0,0,1,23-02-2021,India,11597768,325527,46054,10288293,1309475,,,,1120345,9167948,,,,,,,,,5389434,4897627,1232,21-06-2020,Andaman and Nicobar Islands,13434,,48
40,04-03-2020,6:00 PM,Uttar Pradesh,6,0,0,0,6,24-02-2021,India,12042958,339617,46671,10517568,1525390,,,,1156820,9360748,,,,,,,,,5558978,4957351,1239,22-06-2020,Andaman and Nicobar Islands,13511,,48
41,04-03-2020,6:00 PM,Kerala,3,0,3,0,3,25-02-2021,India,12819074,352882,47068,10846192,1972882,,,,1204424,9641768,,,,,,,,,5799474,5045426,1292,23-06-2020,Andaman and Nicobar Islands,13723,,50
42,04-03-2020,6:00 PM,Haryana,0,2,0,0,2,26-02-2021,India,13560932,357440,47240,11141375,2419557,,,,1244235,9897140,,,,,,,,,6008758,5131299,1318,24-06-2020,Andaman and Nicobar Islands,13994,,56
43,04-03-2020,6:00 PM,Delhi,1,0,0,0,1,27-02-2021,India,13560983,357450,47242,11141426,2419557,,,,1244235,9897191,,,,,,,,,6008785,5131323,1318,25-06-2020,Andaman and Nicobar Islands,14277,,59
44,04-03-2020,6:00 PM,Telengana,1,0,0,0,1,28-02-2021,India,13561208,367595,48032,11141651,2419557,,,,1244273,9897378,,,,,,,,,6008960,5131373,1318,26-06-2020,Andaman and Nicobar Islands,14583,,72
45,04-03-2020,6:00 PM,Rajasthan,1,14,0,0,15,01-03-2021,India,13561208,401961,50243,11141651,2419557,,,,1244273,9897378,,,,,,,,,6008960,5131373,1318,27-06-2020,Andaman and Nicobar Islands,14851,,73
46,05-03-2020,6:00 PM,Delhi,2,0,0,0,2,02-03-2021,India,14533954,448977,51350,11886320,2647634,,,,1277711,10608609,,,,,,,,,6462436,5422470,1414,28-06-2020,Andaman and Nicobar Islands,15094,,83
47,05-03-2020,6:00 PM,Haryana,0,2,0,0,2,03-03-2021,India,15383883,533253,54700,12553326,2830557,,,,1307164,11246162,,,,,,,,,6859318,5692550,1458,29-06-2020,Andaman and Nicobar Islands,15410,,90
48,05-03-2020,6:00 PM,Kerala,3,0,3,0,3,04-03-2021,India,16535703,613748,57418,13393538,3142165,,,,1345443,12048095,,,,,,,,,7346850,6045211,1477,30-06-2020,Andaman and Nicobar Islands,15709,,97
49,05-03-2020,6:00 PM,Rajasthan,1,14,0,0,15,05-03-2021,India,17871673,714806,59064,14415912,3455761,,,,1386898,13029014,,,,,,,,,7924084,6490255,1573,01-07-2020,Andaman and Nicobar Islands,15982,,100
50,05-03-2020,6:00 PM,Telengana,1,0,0,0,1,06-03-2021,India,19170828,802800,60930,15438495,3732333,,,,1434272,14004223,,,,,,,,,8488627,6948195,1673,02-07-2020,Andaman and Nicobar Islands,16278,,109
51,05-03-2020,6:00 PM,Uttar Pradesh,7,0,0,0,7,07-03-2021,India,19288666,862720,63187,15541529,3747137,,,,1440857,14100672,,,,,,,,,8545982,6993867,1680,03-07-2020,Andaman and Nicobar Islands,16626,,116
52,06-03-2020,6:00 PM,Delhi,3,0,0,0,3,08-03-2021,India,21038500,923939,64854,16976138,4062362,,,,1495593,15480545,,,,,,,,,9298005,7676312,1821,04-07-2020,Andaman and Nicobar Islands,16832,,119
53,06-03-2020,6:00 PM,Haryana,0,2,0,0,2,09-03-2021,India,18360243,3632230,22562,14003206,4357037,,,,1619279,16739804,,,,,,,,,10044921,8313353,1967,05-07-2020,Andaman and Nicobar Islands,16909,,125
54,06-03-2020,6:00 PM,Kerala,3,0,3,0,3,10-03-2021,India,19538547,3712590,22885,14872785,4665762,,,,1727948,17809439,,,,,,,,,10707385,8829091,2069,06-07-2020,Andaman and Nicobar Islands,17095,,141
55,06-03-2020,6:00 PM,Rajasthan,1,14,0,0,15,11-03-2021,India,19953987,2074307,13920,15204375,4749612,,,,1755220,18197567,,,,,,,,,10937930,9013952,2103,07-07-2020,Andaman and Nicobar Islands,17381,,147
56,06-03-2020,6:00 PM,Uttar Pradesh,7,0,0,0,7,12-03-2021,India,21772159,5428928,34489,16612019,5160140,,,,1910640,19860313,,,,,,,,,11974143,9795767,2247,08-07-2020,Andaman and Nicobar Islands,17643,,149
57,06-03-2020,6:00 PM,Telengana,1,0,0,0,1,13-03-2021,India,23159604,4500722,27403,17698742,5460862,,,,2010101,21148292,,,,,,,,,12747867,10409393,2342,09-07-2020,Andaman and Nicobar Islands,17852,,151
58,07-03-2020,6:00 PM,Kerala,3,0,3,0,3,14-03-2021,India,23317750,935045,6063,17837716,5480034,,,,2017875,21298664,,,,,,,,,12832126,10483269,2353,10-07-2020,Andaman and Nicobar Islands,18046,,156
59,07-03-2020,6:00 PM,Uttar Pradesh,7,0,0,0,7,15-03-2021,India,25618250,6451678,40180,19766466,5851784,,,,2183445,23433592,,,,,,,,,14090723,11524956,2569,11-07-2020,Andaman and Nicobar Islands,18315,,163
60,07-03-2020,6:00 PM,Ladakh,2,0,0,0,2,16-03-2021,India,31870745,5366679,33886,25709257,6161488,,,,2557019,29313725,,14381,,,,7822654,8321177,9549294,13993527,11713149,2581,12-07-2020,Andaman and Nicobar Islands,18447,,163
61,07-03-2020,6:00 PM,Telengana,1,0,0,0,1,17-03-2021,India,36496020,5183313,31807,30011328,6484692,,,,2875235,33620784,,14662,,,,7949980,9106642,12938115,16266085,13742026,3217,13-07-2020,Andaman and Nicobar Islands,18609,,166
62,07-03-2020,6:00 PM,Tamil Nadu,1,0,0,0,1,18-03-2021,India,38770404,5880856,38208,31952935,6817469,,,,3111700,35658703,,14777,,,,8086204,9587964,14261942,17311577,14637915,3443,14-07-2020,Andaman and Nicobar Islands,18884,,171
63,07-03-2020,6:00 PM,Delhi,3,0,0,0,3,19-03-2021,India,41309219,6385874,41625,34228371,7080848,,,,3332178,37977040,,14896,,,,8219288,10165734,15826268,18492473,15732206,3692,15-07-2020,Andaman and Nicobar Islands,19061,,176
64,07-03-2020,6:00 PM,Haryana,0,2,0,0,2,20-03-2021,India,43877868,6470646,42178,36568988,7308880,,,,3617184,40260683,,15074,,,,8358591,10766621,17426476,19688923,16876137,3928,16-07-2020,Andaman and Nicobar Islands,19227,,180
